benchmark,nanos,unixts.after,unixts.before
rx-scrabble,521634402,1587028029682,1587028029161
rx-scrabble,497932276,1587028030189,1587028029692
rx-scrabble,492918862,1587028030694,1587028030201
rx-scrabble,503458506,1587028031209,1587028030705
rx-scrabble,528871598,1587028031749,1587028031221
rx-scrabble,502725291,1587028032264,1587028031761
rx-scrabble,505230386,1587028032779,1587028032274
rx-scrabble,530805775,1587028033322,1587028032791
rx-scrabble,502268085,1587028033835,1587028033333
rx-scrabble,500347529,1587028034345,1587028033844
rx-scrabble,491534843,1587028034847,1587028034356
rx-scrabble,537049270,1587028035396,1587028034859
rx-scrabble,499592861,1587028035907,1587028035407
rx-scrabble,492764549,1587028036409,1587028035916
rx-scrabble,488697511,1587028036908,1587028036420
rx-scrabble,528967829,1587028037449,1587028036920
rx-scrabble,498434232,1587028037959,1587028037460
rx-scrabble,489414140,1587028038458,1587028037969
rx-scrabble,495384571,1587028038965,1587028038470
rx-scrabble,526324421,1587028039502,1587028038976
rx-scrabble,489586162,1587028040004,1587028039514
rx-scrabble,493834634,1587028040509,1587028040015
rx-scrabble,493786680,1587028041018,1587028040524
rx-scrabble,532170768,1587028041561,1587028041029
rx-scrabble,497788758,1587028042068,1587028041570
rx-scrabble,479334637,1587028042558,1587028042079
rx-scrabble,496563885,1587028043064,1587028042568
rx-scrabble,531572552,1587028043607,1587028043075
rx-scrabble,493343109,1587028044111,1587028043618
scala-doku,10179753734,1587028054779,1587028044599
scala-doku,10018133612,1587028064799,1587028054781
scala-doku,10022382809,1587028074822,1587028064799
scala-doku,9925637875,1587028084747,1587028074822
scala-doku,9904495151,1587028094652,1587028084748
scala-doku,9914835689,1587028104567,1587028094652
scala-doku,9656081866,1587028114223,1587028104567
scala-doku,9881611758,1587028124105,1587028114224
scala-doku,10696313876,1587028134802,1587028124105
scala-doku,11314866750,1587028146117,1587028134802
scala-doku,11307990908,1587028157425,1587028146117
scala-doku,11273630996,1587028168699,1587028157425
scala-doku,11356222237,1587028180055,1587028168699
scala-doku,11293528180,1587028191349,1587028180055
scala-doku,11329392150,1587028202678,1587028191349
scala-doku,11311580491,1587028213990,1587028202679
scala-doku,11290584098,1587028225281,1587028213990
scala-doku,11344237485,1587028236625,1587028225281
scala-doku,11285817289,1587028247911,1587028236626
scala-doku,11286201579,1587028259198,1587028247911
dec-tree,8107693866,1587025160065,1587025151958
dec-tree,4018454572,1587025164084,1587025160065
dec-tree,4412490284,1587025168496,1587025164084
dec-tree,4206363334,1587025172703,1587025168497
dec-tree,4280466727,1587025176983,1587025172703
dec-tree,3444074869,1587025180428,1587025176984
dec-tree,3479762573,1587025183908,1587025180428
dec-tree,3358298382,1587025187266,1587025183908
dec-tree,4335492774,1587025191602,1587025187266
dec-tree,3465202636,1587025195067,1587025191602
dec-tree,3983274560,1587025199050,1587025195067
dec-tree,3413111359,1587025202463,1587025199050
dec-tree,3735489313,1587025206199,1587025202464
dec-tree,4527194950,1587025210726,1587025206199
dec-tree,3708877638,1587025214435,1587025210727
dec-tree,3970410955,1587025218406,1587025214436
dec-tree,3456048497,1587025221862,1587025218406
dec-tree,3309406901,1587025225172,1587025221862
dec-tree,3395776709,1587025228567,1587025225172
dec-tree,4165555665,1587025232733,1587025228568
dec-tree,3421378760,1587025236155,1587025232733
dec-tree,3578021217,1587025239733,1587025236155
dec-tree,3322460320,1587025243055,1587025239733
dec-tree,3452525922,1587025246508,1587025243055
dec-tree,3589033298,1587025250097,1587025246508
dec-tree,3288780443,1587025253386,1587025250097
dec-tree,3439372270,1587025256825,1587025253386
dec-tree,3308546825,1587025260134,1587025256825
dec-tree,3447272608,1587025263581,1587025260134
dec-tree,4528506983,1587025268110,1587025263581
dec-tree,3332351031,1587025271442,1587025268110
dec-tree,3289364071,1587025274732,1587025271442
dec-tree,3267641691,1587025278000,1587025274732
dec-tree,3262253973,1587025281262,1587025278000
dec-tree,3335343043,1587025284597,1587025281262
dec-tree,4583968741,1587025289181,1587025284597
